初始等级案由,次级案由,三级案由
未成年工特殊劳动保护纠纷,违法使用童工或未成年工登记备案纠纷,用人单位是否招用未满16周岁的童工，或招用未成年工后是否依法向劳动行政部门办理登记
未成年工特殊劳动保护纠纷,违反工作时间、劳动强度及禁忌劳动范围纠纷,安排未成年工从事法律禁止的矿山井下、有毒有害、高强度体力劳动等禁忌岗位，或安排其加班、夜班劳动
未成年工特殊劳动保护纠纷,未履行定期健康检查义务纠纷,用人单位未按法定周期（安排工作岗位前、工作满一年、年满18周岁前）对未成年工进行健康检查。
工程建设领域用工责任主体认定纠纷,违法发包、分包、转包情形下的责任认定纠纷,建设单位（发包方）将工程发包给不具备用工主体资格的组织或个人，或者总包单位、分包单位违法转包、分包给不具备资质的单位或个人（俗称“包工头”），导致劳动者工资被拖欠或发生工伤时，责任主体如何确定
工程建设领域用工责任主体认定纠纷,挂靠、借用资质情形下的责任认定纠纷,不具备施工资质的单位或个人（挂靠方）借用有资质的建筑施工企业（被挂靠方）名义承揽工程，挂靠方自行招用的劳动者与被挂靠方是否存在劳动关系
工程建设领域用工责任主体认定纠纷,,发生欠薪或工伤，责任由谁承担
工程建设领域用工责任主体认定纠纷,"劳务派遣、专业作业企业（劳务公司）用工责任认定纠纷
",总包或分包单位通过劳务派遣或专业作业企业（劳务公司）使用劳动者，当劳务公司无力支付工资或缴纳社保时，用工单位（总包/分包方）是否承担责任
非法用工单位伤亡人员赔偿纠纷,非法用工主体资格认定纠纷,涉案单位或个人是否属于法律意义上的“非法用工单位”
非法用工单位伤亡人员赔偿纠纷,一次性赔偿标准计算纠纷,赔偿的具体项目和数额如何计算
非法用工单位伤亡人员赔偿纠纷,责任主体与赔偿义务人确定纠纷,当非法用工单位由个人实际控制或经营时，赔偿责任应由谁承担
非法用工单位伤亡人员赔偿纠纷,责任主体与赔偿义务人确定纠纷,单位被注销或负责人逃匿怎么办
超龄人员（退休返聘等）用工权益纠纷,法律关系定性纠纷,劳动关系认定纠纷
超龄人员（退休返聘等）用工权益纠纷,法律关系定性纠纷,劳务关系/雇佣关系认定纠纷
超龄人员（退休返聘等）用工权益纠纷,具体权益给付纠纷,劳务报酬支付纠纷
超龄人员（退休返聘等）用工权益纠纷,具体权益给付纠纷,工伤（人身损害）赔偿纠纷
超龄人员（退休返聘等）用工权益纠纷,具体权益给付纠纷,解除或终止劳务合同的经济补偿/赔偿金纠纷
超龄人员（退休返聘等）用工权益纠纷,具体权益给付纠纷,其他福利待遇纠纷（如带薪休假工资等）
超龄人员（退休返聘等）用工权益纠纷,社会保险与商业保险纠纷,工伤保险参保纠纷
超龄人员（退休返聘等）用工权益纠纷,社会保险与商业保险纠纷,意外伤害商业保险理赔纠纷
新业态劳动关系（或劳务关系）认定纠纷,外卖配送行业纠纷,骑手与平台（如“美团”、“饿了么”）或其合作商、众包服务公司之间是否存在劳动关系
新业态劳动关系（或劳务关系）认定纠纷,网约车行业纠纷,网约车司机与平台公司（如“滴滴出行”、“T3出行”）之间是劳动关系还是合作/承揽关系
新业态劳动关系（或劳务关系）认定纠纷,网络直播行业纠纷,网络主播与经纪公司（MCN机构）或直播平台之间是劳动关系、经纪合同关系还是合作分成关系
新业态劳动关系（或劳务关系）认定纠纷,其他平台用工纠纷（如跑腿、同城货运、家政平台等）,类似外卖和网约车，核心在于平台对劳动者的控制程度
新业态劳动报酬结算纠纷,计件/提成单价与计算标准争议,平台或合作企业单方降低每单配送费、每公里运费、直播打赏分成比例等计价标准
新业态劳动报酬结算纠纷,计件/提成单价与计算标准争议,对计算方式（如距离、时长、难度系数）的解释存在分歧
新业态劳动报酬结算纠纷,计件/提成单价与计算标准争议,以“服务星级”、“客户评分”等为由，实质性地、不合理地降低应得报酬
新业态劳动报酬结算纠纷,奖励/补贴发放条件争议,平台设置的“冲单奖”、“全勤奖”、“高峰时段补贴”等奖励的发放条件是否清晰、合理
新业态劳动报酬结算纠纷,奖励/补贴发放条件争议,平台以“数据异常”、“刷单”、“违反规则”等模糊理由取消或拒发已承诺的奖励
新业态劳动报酬结算纠纷,服务费/管理费/保险费等扣费争议,平台或合作企业从劳动者收入中扣除的“信息服务费”、“平台管理费”、“装备租赁费”、“商业保险费”等项目的收费标准是否合理、透明，扣费是否经过劳动者同意
新业态劳动报酬结算纠纷,报酬支付周期与拖欠争议,平台或合作企业未按约定周期（如周结、月结）支付报酬
新业态劳动报酬结算纠纷,报酬支付周期与拖欠争议,以“系统结算延迟”、“账户审核”等理由长期拖欠报酬
平台规则与管理争议,派单与算法调度争议,平台派单规则（如强制派单、派单距离/单价不合理、算法歧视、“最严算法”）、抢单机制公平性、以及因算法调度导致的收入不稳定或安全风险（如疲劳驾驶）
平台规则与管理争议,考核与奖惩规则争议,平台设定的服务评分、准时率、差评/投诉扣罚规则是否合理、透明
平台规则与管理争议,考核与奖惩规则争议,因客户差评、投诉（尤其是非骑手过错的投诉）导致的高额罚款、强制“微笑服务”等
平台规则与管理争议,考核与奖惩规则争议,积分、等级制度与权益挂钩的公平性
平台规则与管理争议,账号封禁与限单处罚争议,平台以“违反安全规则”、“刷单”、“服务不达标”等为由，永久或长期封禁劳动者账号、限制接单数量或时间段，实质剥夺其工作机会和收入来源
平台规则与管理争议,算法透明度与解释权争议,平台以“算法黑箱”或“商业秘密”为由，拒绝公开或解释影响劳动者核心权益的算法逻辑（如定价、派单、评级算法），导致劳动者维权困难。同时，平台规则中“最终解释权归平台所有”条款的效力问题
新业态用工协议履行纠纷,电子协议的法律效力争议,通过APP、网站等在线方式签订的协议（如《服务合作协议》、《平台用户协议》）是否成立、生效，是否对双方具有法律约束力
新业态用工协议履行纠纷,协议关键条款的解释与效力争议,对协议中关于报酬计算、服务标准、违约责任、单方修改权、争议解决方式（如仲裁条款） 等核心条款的理解存在分歧，或主张该等格式条款无效
新业态用工协议履行纠纷,协议履行过程中的违约与抗辩,一方主张对方未按协议约定履行义务，如劳动者主张平台未足额支付报酬、未提供承诺的保障
新业态用工协议履行纠纷,协议履行过程中的违约与抗辩,平台主张劳动者未达到服务标准、违反平台规则等
新业态用工协议履行纠纷,协议终止后的附随义务争议,协议关系结束后，关于押金/保证金退还、账户余额结算、个人信息处理等问题的纠纷
新业态职业伤害保障待遇纠纷,待遇享受主体资格与参保状态争议,从业人员身份认定
新业态职业伤害保障待遇纠纷,待遇享受主体资格与参保状态争议,参保状态与缴费争议
新业态职业伤害保障待遇纠纷,待遇享受主体资格与参保状态争议,“因工”与“非因工”的初步界定
新业态职业伤害保障待遇纠纷,职业伤害事实认定与因果关系争议,事故伤害认定： 对交通事故、意外跌落等突发性伤害是否属于职业伤害存在争议
新业态职业伤害保障待遇纠纷,职业伤害事实认定与因果关系争议,疾病认定（如猝死）： 在工作过程中突发疾病死亡或在48小时内经抢救无效死亡，是否认定为职业伤害（或视同）
新业态职业伤害保障待遇纠纷,职业伤害事实认定与因果关系争议,因果关系判定： 伤害的发生是否与执行平台任务有直接因果关系，是否存在从业人员重大过错（如违反交通法规）、自伤自残或违法犯罪行为等免责情形
新业态职业伤害保障待遇纠纷,具体待遇项目、标准与支付争议,医疗费用报销范围与标准： 对超出医保目录的医疗费用、非定点医疗机构费用、康复费用等是否报销存在争议
新业态职业伤害保障待遇纠纷,具体待遇项目、标准与支付争议,伤残待遇计算： 对劳动能力鉴定结论不服，或对伤残津贴、一次性伤残补助金等的计算基数（如“平台收入”如何界定）和标准存在争议
新业态职业伤害保障待遇纠纷,具体待遇项目、标准与支付争议,工亡待遇争议： 对丧葬补助金、供养亲属抚恤金、一次性工亡补助金的计算与支付存在争议
新业态职业伤害保障待遇纠纷,具体待遇项目、标准与支付争议,待遇支付主体与流程： 平台企业与承保的商业保险公司之间就待遇支付责任划分、支付时效等产生纠纷，导致从业人员无法及时获得待遇
与平台相关的商业保险理赔纠纷,保险责任认定纠纷,“非意外”争议： 保险公司以事故系从业人员自身疾病（如猝死被认定为疾病死亡）、故意行为或违法行为所致为由拒赔
与平台相关的商业保险理赔纠纷,保险责任认定纠纷,“非工作期间”争议： 对“接单途中”、“等待订单”、“完成订单后返程”等时段是否属于“工作期间”或“执行职务过程”存在分歧
与平台相关的商业保险理赔纠纷,保险责任认定纠纷,“不符合承保职业类别”争议： 保险公司主张从业人员实际从事的风险高于投保时申报的职业类别
与平台相关的商业保险理赔纠纷,理赔金额与项目计算纠纷,残疾等级评定争议： 从业人员单方委托鉴定的伤残等级与保险公司不认可，或保险合同约定的伤残评定标准（如行业标准）与《人体损伤致残程度分级》等国家标准不一致
与平台相关的商业保险理赔纠纷,理赔金额与项目计算纠纷,医疗费用范围争议： 保险公司对医保范围外的用药、非定点医院治疗等费用不予赔付
与平台相关的商业保险理赔纠纷,理赔金额与项目计算纠纷,赔偿比例适用争议： 对保险合同约定的按伤残等级比例赔付的计算基数（是保险金额还是某项限额）存在不同理解
与平台相关的商业保险理赔纠纷,平台企业责任与保险关系纠纷,平台投保义务性质争议： 商业保险是平台的法定义务补充还是福利？平台未投保或投保不足，是否需对从业人员损失承担赔偿责任
与平台相关的商业保险理赔纠纷,平台企业责任与保险关系纠纷,保险金抵扣争议： 平台企业主张，其已支付的医疗费垫付款或赔偿款，应从保险理赔金中扣除
与平台相关的商业保险理赔纠纷,平台企业责任与保险关系纠纷,理赔协助义务争议： 平台企业不配合提供理赔所需材料（如订单记录、关系证明），导致理赔受阻，是否应承担责任
新业态人员参保与社保衔接纠纷,参保主体与参保义务纠纷,劳动关系认定争议:平台企业与从业人员之间是否存在事实劳动关系，从而适用《劳动合同法》的强制参保规定
新业态人员参保与社保衔接纠纷,参保主体与参保义务纠纷,特殊劳动关系或民事合作关系下的参保责任: 在不构成标准劳动关系的情况下，平台企业是否仍负有通过商业保险或职业伤害保障等方式提供替代性保障的义务
新业态人员参保与社保衔接纠纷,参保类型与缴费纠纷,应参保险种争议： 平台企业是应为从业人员缴纳全部五项社会保险（养老、医疗、失业、工伤、生育），还是仅需缴纳部分险种（如工伤保险或职业伤害保障）
新业态人员参保与社保衔接纠纷,参保类型与缴费纠纷,缴费基数与年限计算争议:社保缴费基数是否按实际收入计算，以及在不同平台或不同身份（单位职工与灵活就业人员）间工作年限能否合并计算
新业态人员参保与社保衔接纠纷,待遇衔接与损失赔偿纠纷,养老保险待遇损失赔偿： 因平台企业未依法参保，导致从业人员达到退休年龄时缴费年限不足，无法按月领取养老金，该损失如何计算与赔偿
新业态人员参保与社保衔接纠纷,待遇衔接与损失赔偿纠纷,职业伤害保障与工伤保险待遇衔接争议： 新业态人员同时被认定为工伤（劳动关系下）和职业伤害（新业态保障下），或在不同时期参加了不同保障，待遇如何适用与衔接
新业态人员参保与社保衔接纠纷,社保经办与行政处理纠纷,社保行政部门不予认定工伤或职业伤害的纠纷： 从业人员申请工伤认定或职业伤害确认，被人社部门驳回
农民工工资支付纠纷,工资支付责任主体的认定,总包单位先行清偿责任
农民工工资支付纠纷,工资支付责任主体的认定,建设单位先行垫付责任
农民工工资支付纠纷,工资标准的认定,劳动合同约定、集体合同规定、用人单位依法制定的规章制度、实际履行的工资标准。无约定的，可参照同期、同岗位工资标准或当地行业平均工资
工程建设领域工资保证金相关纠纷,工资保证金的启用（动用）条件与程序纠纷,启用条件的认定
工程建设领域工资保证金相关纠纷,工资保证金的启用（动用）条件与程序纠纷,启用程序的合规性争议
工程建设领域工资保证金相关纠纷,工资保证金垫付后的追偿与责任划分纠纷,施工总承包单位的追偿权
工程建设领域工资保证金相关纠纷,工资保证金垫付后的追偿与责任划分纠纷,金融机构（保函出具方）的追偿权
工程建设领域工资保证金相关纠纷,工资保证金垫付后的追偿与责任划分纠纷,责任主体的最终认定
工程建设领域工资保证金相关纠纷,与工资保证金相关的其他衍生纠纷,保证金减免、退还纠纷
工程建设领域工资保证金相关纠纷,与工资保证金相关的其他衍生纠纷,保函真实性与有效性争议
农民工工伤待遇快速处理纠纷,责任主体认定纠纷（发包、分包、转包情形）,应由哪个单位（发包方、总承包方、分包方、实际施工人）承担工伤保险责任或赔偿责任
农民工工伤待遇快速处理纠纷,工伤保险待遇项目与标准计算纠纷,对停工留薪期工资、护理费、一次性伤残补助金、一次性工伤医疗补助金和伤残就业补助金等具体项目的计算基数、期限、标准存在争议
农民工工伤待遇快速处理纠纷,未参保农民工工伤待遇先行支付与追偿纠纷,用人单位未为农民工缴纳工伤保险，农民工发生工伤后，能否要求工伤保险基金先行支付，以及基金支付后向用人单位的追偿问题
农民工工伤待遇快速处理纠纷,工伤认定程序与快速处理衔接纠纷,在工伤认定行政程序尚未完结或存在争议时，农民工能否就部分已明确的待遇（如医疗费、停工留薪期工资）先行提起仲裁或诉讼，实现快速受偿
农民工工伤待遇快速处理纠纷,商业保险与工伤待遇竞合纠纷,用人单位为农民工购买了人身意外伤害等商业保险，保险理赔款能否抵扣其应承担的工伤赔偿责任
农民工集体劳动争议,建设工程领域“工资专户”管理失范纠纷,建设单位或总承包单位未按规定开设、使用农民工工资专用账户，未按时足额将工资性工程款拨付至专户，导致分包单位无力支付工资
农民工集体劳动争议,违法分包、转包下的工资支付责任纠纷,在违法分包、转包给不具备用工主体资格的组织或个人（“包工头”）的情况下，“包工头”逃匿或无力支付，农民工向谁主张工资
农民工集体劳动争议,用人单位经营异常或负责人逃匿引发的应急处理纠纷,用人单位（尤其是中小型劳动密集型企业）因经营困难、破产或负责人逃匿，导致大规模工资拖欠，如何快速启动财产查控、工资垫付等应急机制
农民工集体劳动争议,工资数额、工时及考勤证据认定纠纷,在集体争议中，双方对工资金额、出勤天数、加班时长等事实各执一词，且农民工往往缺乏规范的工资条、考勤记录等书面证据
超龄人员退休返聘用工纠纷,劳务报酬支付标准与拖欠纠纷,双方对劳务报酬的计算标准（计时/计件）、支付周期、金额约定不明，或用人单位单方扣减、无故拖欠报酬
超龄人员退休返聘用工纠纷,提供劳务者受害责任纠纷（工伤替代）,超龄人员在提供劳务过程中受伤，其损失（医疗费、误工费、残疾赔偿金等）应由谁承担，以及如何划分接受劳务一方（用人单位/个人）与提供劳务者自身的过错责任
超龄人员退休返聘用工纠纷,未享受养老保险待遇的超龄农民工“工伤认定”特殊情形纠纷,对于达到法定退休年龄但未享受城镇职工基本养老保险待遇的农民工（以下简称“未享待遇超龄农民工”），在工作中受伤，能否认定工伤
非法用工单位伤亡赔偿纠纷,非法用工单位主体资格认定与赔偿责任纠纷,涉案单位是否属于法律意义上的“非法用工单位”；赔偿责任应由谁承担（如实际经营者、出资人、发包方等）
非法用工单位伤亡赔偿纠纷,一次性赔偿金计算标准与支付纠纷,赔偿项目的具体计算（单位所在地平均工资标准、伤残等级鉴定、赔偿系数适用）
非法用工单位伤亡赔偿纠纷,一次性赔偿金计算标准与支付纠纷,赔偿金是否包含后续治疗费、护理费等
非法用工单位伤亡赔偿纠纷,一次性赔偿金计算标准与支付纠纷,支付期限
非法用工单位伤亡赔偿纠纷,童工伤亡赔偿纠纷,用人单位使用童工（未满16周岁）造成其伤残或死亡，赔偿标准远高于普通非法用工伤亡赔偿，且涉及行政罚款甚至刑事责任
养老保险待遇损失纠纷,劳动者在职期间或离职时主张的“赔偿型”纠纷,劳动者在退休前发现用人单位未缴、少缴社保，要求赔偿未来可预期的养老金损失，或要求用人单位赔偿其因无法补缴而自行补缴所产生的费用及利息
养老保险待遇损失纠纷,劳动者已达退休年龄后主张的“补偿型”纠纷,劳动者达到法定退休年龄，因用人单位历史欠费导致其养老保险缴费年限不足，无法按月领取基本养老金，要求用人单位赔偿一次性养老保险待遇损失
养老保险待遇损失纠纷,劳动者退休后主张的“差额补足型”纠纷,劳动者已开始领取养老金，但因用人单位缴费基数不足、年限不足等原因，导致其领取的养老金低于依法足额缴费应得的水平，要求用人单位赔偿养老金差额损失
养老保险待遇损失纠纷,        无法补缴纠纷,因用人单位主体存续但拒不配合导致的无法补缴
养老保险待遇损失纠纷,        无法补缴纠纷,因超过社保经办机构规定的补缴期限导致的无法补缴
养老保险待遇损失纠纷,        无法补缴纠纷,因用人单位注销、吊销、破产等主体消亡导致的无法补缴
人事档案/社保关系转移纠纷,办理转移手续的行为给付纠纷,劳动者仅要求用人单位履行办理档案、社保关系转移的法定手续，不涉及或暂不主张经济损失赔偿
人事档案/社保关系转移纠纷,因转移迟延造成损失而引发的损害赔偿纠纷,用人单位迟延或拒绝办理转移手续，导致劳动者无法入职新单位、无法享受失业保险待遇、造成社保缴费中断影响退休待遇等，劳动者要求赔偿相应损失
人事档案/社保关系转移纠纷,档案丢失、损毁或内容不当引发的特殊侵权纠纷,用人单位遗失劳动者人事档案，或档案中存在不实、负面评价材料影响劳动者再就业、政审等，劳动者要求补办档案、消除影响、赔偿精神损害等
职工民主管理权利纠纷,涉及“职工代表大会”职权行使的程序性纠纷,
职工民主管理权利纠纷,涉及“厂务公开”义务履行的知情权纠纷,
职工民主管理权利纠纷,涉及“集体协商”权利的程序性纠纷,
职工民主管理权利纠纷,作为“抗辩理由”或“前置程序瑕疵”出现在个体劳动争议中,
职工民主管理权利纠纷,工会或职工代表作为特殊主体提起的“履行民主程序”之,
住房公积金纠纷,单位不办理住房公积金缴存登记及账户设立纠纷,
住房公积金纠纷,单位逾期不缴或少缴住房公积金纠纷,
住房公积金纠纷,职工与单位就缴存基数、比例发生的争议,
企业自主福利调整引发的纠纷,已转化为固定劳动报酬或合同义务的福利,
企业自主福利调整引发的纠纷,属于企业单方恩惠或可自由裁量的福利,
企业自主福利调整引发的纠纷,惯例性福利,
企业自主福利调整引发的纠纷,货币补贴类纠纷（交通、通讯、住房补贴）,
企业自主福利调整引发的纠纷,实物或服务类福利纠纷（体检、旅游、餐补、班车）,
